video_id,title,filename,pub_date,assemblyai_transcript_id
qAafqP04wDU,Questions and Confusion Prevents Being Ok and Having a Sense of Wellbeing Freddie 8 11 20 14,2014-11-20-questions-and-confusion-prevents-being-ok-and-having-a-sense-of-wellbeing-freddie-8-11-20-14.md,2014-11-20,4124b207-750d-4fbe-a4ce-b0d8569f13da
T87ogLShF0E,Merry Christmas: That's an Order Erik 2 12 26 19,2019-12-26-merry-christmas--that-s-an-order-erik-2-12-26-19.md,2019-12-26,
zLfilDFZ1iY,Unwholesome Thoughts & the Breath Erik 3 12 31 19,2019-12-31-unwholesome-thoughts---the-breath-erik-3-12-31-19.md,2019-12-31,
-qxiH7JKyPY,Foundations of the Practice Rupesh 1 and Erik Z 4 1 1 20,2020-01-01-foundations-of-the-practice-rupesh-1-and-erik-z-4-1-1-20.md,2020-01-01,
jRPCfxGs2VU,At the Wat in Seattle Erik Z 8 7 9 20,2020-07-09-at-the-wat-in-seattle-erik-z-8-7-9-20.md,2020-07-09,
FMh48jBKLLg,Marcel 7 and Erik Z 9 09 28 20,2020-09-28-marcel-7-and-erik-z-9-09-28-20.md,2020-09-28,
2tOm6E6RDqY,"Erik Z 10, Dwight 2 3 12 21",2021-03-12-erik-z-10--dwight-2-3-12-21.md,2021-03-12,
PMStMEyN0YU,Anapanasati for Enthusiastic Beginners (Part 6) Alan 7 and Erik Z 11 3 27 21,2021-03-27-anapanasati-for-enthusiastic-beginners--part-6--alan-7-and-erik-z-11-3-27-21.md,2021-03-27,
PZXbZtzHMIE,Confidence in the Path Erik Z 12 6 28 21,2021-06-28-confidence-in-the-path-erik-z-12-6-28-21.md,2021-06-28,
E32YeXIeobc,The Sangha Thai 4 students finish Depabhavan Retreat Visit 1 18 23,2023-01-18-the-sangha-thai-4-students-finish-depabhavan-retreat-visit-1-18-23.md,2023-01-18,cc502e82-d5b1-4e4e-ae70-7a6086c6e024
9Pw5jiVIp1Y,The Sangha Thai 4 students finish Depabhavan Retreat Visit 22 1 18 23,2023-01-18-the-sangha-thai-4-students-finish-depabhavan-retreat-visit-22-1-18-23.md,2023-01-18,be6654ae-580d-47d2-9658-52b6ee35b2dc
GeMJ1hE96Do,The Sangha US 100 01 20 23,2023-01-20-the-sangha-us-100-01-20-23.md,2023-01-20,a416d850-787e-4431-8539-2180ff9d7386
PQw6TpOC7N4,Karma your Choice Callum 11 02 14 23,2023-02-14-karma-your-choice-callum-11-02-14-23.md,2023-02-14,ea1469aa-ca70-4d92-b996-df7f8f6860ab
NHw7oacp0dU,Robert Presents The Sangha UK 138 06 21 23,2023-06-21-robert-presents-the-sangha-uk-138-06-21-23.md,2023-06-21,3b173711-f1af-42f8-b5cb-ca952c93a1a1
aRrpcMUdgnI,The Sangha UK 139 06 25 23,2023-06-25-the-sangha-uk-139-06-25-23.md,2023-06-25,66e27aa7-deb2-41e6-b628-27e674f53eb7
kEQlvLXaoHw,David M 4 06 29 23,2023-06-29-david-m-4-06-29-23.md,2023-06-29,ca300e70-1a62-4985-bd1d-ed9932acb5ce
Y67zpa56xqw,Corey W 6 30 23,2023-06-30-corey-w-6-30-23.md,2023-06-30,abec4280-f76f-4c22-8b3d-7c32da20bfd7
JrbE_U8hvbw,Rick 6 30 23,2023-06-30-rick-6-30-23.md,2023-06-30,716ed6d7-0c55-49ee-a1d8-2e27c01ca694
TSXC76u55JA,The Sangha UK 140 07 02 23,2023-07-02-the-sangha-uk-140-07-02-23.md,2023-07-02,007e1974-d47a-4d32-bf58-ae5c79c23ad6
0kfgmEMc4_w,Gerry 9 07 08 23,2023-07-08-gerry-9-07-08-23.md,2023-07-08,4e3c64ac-79ae-44d5-a5ef-bb2669ee067e
MBNbUvr89e8,Gerry 10 07 12 23,2023-07-12-gerry-10-07-12-23.md,2023-07-12,3ecd5598-d74e-43ef-b88b-a723f9612cd4
AEclQ-tLGn4,Scott The Sangha UK 142 07 13 23,2023-07-13-scott-the-sangha-uk-142-07-13-23.md,2023-07-13,8d66d0cf-d908-4d1b-b7d4-4faf62063fc9
W1g_cfVcPxc,The Sangha US 77 07 15 23,2023-07-15-the-sangha-us-77-07-15-23.md,2023-07-15,02bf8f37-5a75-4e74-9ea9-d8c476bd61b2
QjKCtfdxOZY,Value of Seclusion The Sangha US 76 07 15 23,2023-07-15-value-of-seclusion-the-sangha-us-76-07-15-23.md,2023-07-15,4ada6495-1c9d-423c-94d8-6bb3e53f322b
MASYKXIfh3I,The Sangha UK 143 07 16 23,2023-07-16-the-sangha-uk-143-07-16-23.md,2023-07-16,3b3ca976-5a42-4dd2-aeb1-77fe2ea9c210
GDWTjjnyZrM,AN 3 65: Kalama Sutta The Sangha UK 144 07 20 23,2023-07-20-an-3-65--kalama-sutta-the-sangha-uk-144-07-20-23.md,2023-07-20,3708e732-19ef-4325-a239-40e86cdb7a8c
CFQqVVgfLvs,The Sangha UK 145 07 23 23,2023-07-23-the-sangha-uk-145-07-23-23.md,2023-07-23,a8c4e844-2dcb-41f4-acd5-2bd869b11459
qnvMFtIq0kY,Martin 7 25 23,2023-07-25-martin-7-25-23.md,2023-07-25,0ec507cc-6c78-4577-b787-1350dca0f841
PpHIEBYsXgg,Alex satipattana is like a steam locomotive 7 26 23,2023-07-26-alex-satipattana-is-like-a-steam-locomotive-7-26-23.md,2023-07-26,8f06b17b-9512-416e-b470-5d6d03734590
r1XSxCAmKe0,Rinse and Repeat - Enjoy this Moment Gerry 11 07 26 23,2023-07-26-rinse-and-repeat---enjoy-this-moment-gerry-11-07-26-23.md,2023-07-26,a3230108-a345-471b-a86c-4762e786f3e6
pqxDlqKsUxQ,Martin on the western Buddhist practice of concentration 7 28 23,2023-07-28-martin-on-the-western-buddhist-practice-of-concentration-7-28-23.md,2023-07-28,504577d9-5c57-4f05-a338-7eb80d8a8dc1
NQTwQc4HG1k,More Goenka The Sangha US 78 07 29 23,2023-07-29-more-goenka-the-sangha-us-78-07-29-23.md,2023-07-29,f8ba4e94-d1d5-4493-896a-1f3319f40d53
